Source,Text,URL,Favorites,Retweets
Ultima Hora,#EditorialUH Hay que desmantelar la mafia que desangra a la Cancillería https://t.co/rz08igWDOx https://t.co/EAEkji2jOp,http://www.twitter.com/UltimaHoracom/status/731069418130817024,3,4
Ultima Hora,"Pese a control de asistencia, IPS no consigue erradicar a los planilleros https://t.co/udj5HtuC7m https://t.co/LdaGY5WIx1",http://www.twitter.com/UltimaHoracom/status/731065574973968384,5,6
Ultima Hora,Meteorología pronostica un viernes fresco a cálido https://t.co/Ok6p3fT0nA,http://www.twitter.com/UltimaHoracom/status/731059139749646336,18,4
Ultima Hora,¡Buenos días! Ésta es la portada #UHPy de este viernes con los siguientes títulos principales: https://t.co/TaItw2nedR,http://www.twitter.com/UltimaHoracom/status/731046429611843585,23,23
Ultima Hora,"Artículos de cuidado personal, opción para regalar a  las madres https://t.co/iP6a7S6y8y https://t.co/exDc96prTs",http://www.twitter.com/UltimaHoracom/status/730965493708951552,6,1
Ultima Hora,Instituciones garantizan seguridad durante celebraciones patrias https://t.co/3bBbu6umuX,http://www.twitter.com/UltimaHoracom/status/730960753851797505,3,0
Ultima Hora,El BCP resalta la solvencia del sistema financiero ante los shocks económicos https://t.co/F9xPvgbLPB,http://www.twitter.com/UltimaHoracom/status/730956245406879744,6,4
Ultima Hora,"#ETC Justin Bieber declara guerra a las ""selfies"" https://t.co/o4dTH4D5SW https://t.co/dChtGWT1E5",http://www.twitter.com/UltimaHoracom/status/730952203138109440,6,5
Ultima Hora,Coros del IMA preparan homenaje a las madres https://t.co/vguifcLdps https://t.co/cNG9hitMsR,http://www.twitter.com/UltimaHoracom/status/730947491856781312,7,2
Ultima Hora,"Nuevo canciller de Brasil había llamado ""contrabandista"" a Cartes  https://t.co/WPwMsGyj9J https://t.co/2cwOrE4kSa",http://www.twitter.com/UltimaHoracom/status/730942317931171840,12,27
Ultima Hora,[MUNDO] Manifestantes protestan contra Michel Temer en su cuna política https://t.co/vgMvSUvls7 https://t.co/hkVMJ2e2WV,http://www.twitter.com/UltimaHoracom/status/730938249452113920,3,4
Ultima Hora,Ñeembucú: Hallan abandonada carga de casi 300 kilos de marihuana  https://t.co/0J3Q1JHFqa https://t.co/9r9rzqe5rR,http://www.twitter.com/UltimaHoracom/status/730933856694616065,6,10
Ultima Hora,[Espectáculos] Gira de Kchiporros llega a México https://t.co/Cw0k2Lc25L https://t.co/5pNmrSay1J,http://www.twitter.com/UltimaHoracom/status/730929387860856832,29,10
Ultima Hora,Ex alumnos piden restituir placa stronista en el CTN https://t.co/poLNTYIEmG https://t.co/V8Tgu5td3Y,http://www.twitter.com/UltimaHoracom/status/730925161269055488,20,19
Ultima Hora,Hallan bolsa con marihuana en la Costanera de Encarnación https://t.co/AWJhoDLrrR https://t.co/XSNVdjN5CG,http://www.twitter.com/UltimaHoracom/status/730921087622651910,4,8
Ultima Hora,Obama felicita a Paraguay por aniversario de la independencia https://t.co/FES2lUU5p7 https://t.co/mJNtNfDd2l,http://www.twitter.com/UltimaHoracom/status/730916880303706112,68,51
Ultima Hora,"Alejandro Domínguez: ""A la Conmebol le interesa el Mundial 2030"" https://t.co/HgglLzSmKY #D10 https://t.co/iIsxKsZKER",http://www.twitter.com/UltimaHoracom/status/730912650318782465,6,5
Ultima Hora,Mostrarán históricos documentos de la independencia https://t.co/9aIjCDnW3d https://t.co/EQDObNLyon,http://www.twitter.com/UltimaHoracom/status/730908736257019904,23,26
Ultima Hora,Despiden a jóvenes que van becados a Francia https://t.co/nOgDSGjbp6 https://t.co/ULYPWpozyR,http://www.twitter.com/UltimaHoracom/status/730901935805583360,45,22
Ultima Hora,Delincuentes roban G. 75 millones a dos cambistas en CDE https://t.co/DX4thixuaL,http://www.twitter.com/UltimaHoracom/status/730898572447744000,3,2
Ultima Hora,Gobierno afirma que se encuentra al día en materia de DDHH https://t.co/0l1KUBsjOC,http://www.twitter.com/UltimaHoracom/status/730894914469400576,3,2
Ultima Hora,[Espectáculos] Nuevo show de Las Pastillas del Abuelo https://t.co/b64X5pIEKk https://t.co/nFjzJZfLTI,http://www.twitter.com/UltimaHoracom/status/730889621945483268,19,27
Ultima Hora,Diputados aprueban adhesión de Bolivia al Mercosur https://t.co/yEYXe5CPbW https://t.co/BUtUWdwKYE,http://www.twitter.com/UltimaHoracom/status/730885526090317824,8,15
Ultima Hora,Comunas elevan recaudación por el impuesto inmobiliario https://t.co/3kxTRQX796,http://www.twitter.com/UltimaHoracom/status/730881727464345600,2,2
Ultima Hora,#ETC Cura exigió a feligreses código de vestimenta https://t.co/U5glfomaZp https://t.co/9ovaRSyF6s,http://www.twitter.com/UltimaHoracom/status/730870831795064836,6,1
Ultima Hora,"[ESPECTÁCULOS] Villamayor sigue con el ciclo ""Lunes de Jazz https://t.co/3SX83ZO69N https://t.co/tNia631srL",http://www.twitter.com/UltimaHoracom/status/730867032103763968,7,6
Ultima Hora,"#ETC Cuatro mejores técnicas de estudio, según Harvard https://t.co/C2Mjt9hFq4 https://t.co/4Refo8E8ZW",http://www.twitter.com/UltimaHoracom/status/730859319953137665,60,18
Ultima Hora,Dos obreros heridos tras demolición de comisaría https://t.co/JtaqF0ZVQh https://t.co/hgYR3vx1aH,http://www.twitter.com/UltimaHoracom/status/730855579850313728,5,4
Ultima Hora,Un recorrido virtual por la Casa de la Independencia https://t.co/kpLuvxkfv3 https://t.co/PD15w1MpFH,http://www.twitter.com/UltimaHoracom/status/730850503249285120,30,27
Ultima Hora,Paraguay respeta decisiones institucionales de Brasil https://t.co/jgrxw6BlP8 https://t.co/3u80wyDzKe,http://www.twitter.com/UltimaHoracom/status/730847260934836225,5,5
Ultima Hora,[MUNDO] Desaparecen cinco islas en el Pacífico Sur https://t.co/K1feL5xMnl https://t.co/5ql5I7Ua7F,http://www.twitter.com/UltimaHoracom/status/730843608316817408,21,47
Ultima Hora,#OpiniónUH ¿Sabés cuánta plata recibió tu intendente? - Por Samuel Acosta https://t.co/izMHVodYMR https://t.co/zuEp2258UD,http://www.twitter.com/UltimaHoracom/status/730840519501303809,8,10
Ultima Hora,Por fiestas patrias habrá buses toda la noche https://t.co/hskZykYrIa https://t.co/FMH0OOPLxQ,http://www.twitter.com/UltimaHoracom/status/730838310852169728,34,32
Ultima Hora,Papa abre puertas a que mujeres casen y bauticen https://t.co/KlDyk7sww3 https://t.co/0CIaUxbHfb,http://www.twitter.com/UltimaHoracom/status/730836576964620288,30,17
Ultima Hora,"Destaque y varios elogios para la ""fortaleza guaraní"" https://t.co/96tUXkUSdP vía @D10py https://t.co/tFiKB9jQAW",http://www.twitter.com/UltimaHoracom/status/730833456268218368,13,9
Ultima Hora,Exhiben en Argentina filme sobre masacre de Curuguaty https://t.co/kBA9HuX40H https://t.co/X2PiY7H4vX,http://www.twitter.com/UltimaHoracom/status/730831363058720768,11,14
Ultima Hora,"[Fe de erratas] Alejandro Scelfo Col. Cristo Rey dijo: “La diferencia de colegios privados de hoy con lo que eran antes es inconmensurable""",http://www.twitter.com/UltimaHoracom/status/730830386067058691,9,2
Ultima Hora,Diputados piden informe sobre Metrobús https://t.co/HWDNtQMkJL https://t.co/mSOHscvv3B,http://www.twitter.com/UltimaHoracom/status/730829193035010048,8,12
Ultima Hora,[ESPECTÁCULOS] Realizarán festival por el Día de la Madre https://t.co/WX5vE28Ibp https://t.co/1eHTBj6cd5,http://www.twitter.com/UltimaHoracom/status/730824461876875264,10,5
Ultima Hora,Padre e hijo mueren tras recibir disparos https://t.co/pOuBBk3ONY https://t.co/UPuJFbrsFW,http://www.twitter.com/UltimaHoracom/status/730822551019110400,1,4
Ultima Hora,Asaltan local de cobranza de Copaco https://t.co/I6Pyfcqvrk https://t.co/t0fGW9v15n,http://www.twitter.com/UltimaHoracom/status/730820001050046464,3,4
Ultima Hora,Trotte protagonizó otro incidente en la cárcel https://t.co/hrouRHT3pS https://t.co/12CqUVHFdJ,http://www.twitter.com/UltimaHoracom/status/730818464328228864,7,17
Ultima Hora,Agentes detienen a presunto abusador en Capiatá https://t.co/Huj1djPPUL https://t.co/LnfhRe9mrb,http://www.twitter.com/UltimaHoracom/status/730815816158085120,4,2
Ultima Hora,Asaltantes con pelucas roban fábrica en Capiatá https://t.co/lyx4rEHh5i https://t.co/fkZdDmtYUA,http://www.twitter.com/UltimaHoracom/status/730810725489217536,5,8
Ultima Hora,Asaltan local de cobranza de Copaco en Asunción https://t.co/J28YEIoI8j https://t.co/Ej9V4fa7fd,http://www.twitter.com/UltimaHoracom/status/730806685737070592,6,5
Ultima Hora,Colegio Vicepresidente Sánchez clausurado por peligro de derrumbe https://t.co/qZ9Xy1a6TV https://t.co/4mMhiWiQq6,http://www.twitter.com/UltimaHoracom/status/730801606569132032,6,11
Ultima Hora,Fiesta por la independencia paraguaya en EEUU https://t.co/dm9ylXy8Sd https://t.co/NaGxXXDRH5,http://www.twitter.com/UltimaHoracom/status/730789523286831104,12,10
Ultima Hora,Fiscalía busca documentos en Puertos https://t.co/MyvGHUVUIZ https://t.co/RjRAKUO8n7,http://www.twitter.com/UltimaHoracom/status/730787891501273090,4,2
Ultima Hora,Escribanos sin registro se manifiestan https://t.co/qekmE6YW2p https://t.co/im5YwVV068,http://www.twitter.com/UltimaHoracom/status/730783869612396544,5,12
Ultima Hora,"Rousseff tras ser apartada: ""Es golpe"" https://t.co/65H1GfgNno https://t.co/vzf4aAN0qZ",http://www.twitter.com/UltimaHoracom/status/730781457577345028,5,12
Ultima Hora,Diputados emiten voto censura contra Humberto Peralta https://t.co/WmAQdHDi90 https://t.co/oWhBHGgQt7,http://www.twitter.com/UltimaHoracom/status/730777906977361920,2,2
Ultima Hora,BCP suspende operaciones de aseguradora Imperio S.A. https://t.co/SVtlftdKFU https://t.co/IzPm5Q5b7S,http://www.twitter.com/UltimaHoracom/status/730774905910747138,5,15
Ultima Hora,Agentes allanan Penitenciaría de San Pedro https://t.co/yXR0fl1hw7 https://t.co/eiKVnXBOip,http://www.twitter.com/UltimaHoracom/status/730772817726177281,3,1
Ultima Hora,Diputados postergan tratamiento de emergencia educativa ¿Qué opinas? https://t.co/NhY33X4F0E https://t.co/SGZX265wsa,http://www.twitter.com/UltimaHoracom/status/730769985065365504,3,6
Ultima Hora,Fijan fecha para aplicar multas por no respetar paradas obligatorias https://t.co/qhNnEMTu9z https://t.co/7SNdqLfIQl,http://www.twitter.com/UltimaHoracom/status/730768014988054528,25,14
Ultima Hora,Descuido de conductor ocasiona triple choque sobre Mcal. López https://t.co/bBbXnXbJiY https://t.co/ZF2v6fuI78,http://www.twitter.com/UltimaHoracom/status/730765669231411200,5,8
