source,text,url,likes,shares,comments
5 dias,"Maestra desmiente declaraciones - Diario 5diasAnte la publicación del Observador de Uruguay, sobre las declaraciones realizadas por las docentes uruguayas que residen y ejercen su profesión en el país, la directora de la escuela “Solar Artigas”, Daniela Devincenzi conversó con el diario 5días a fin de desmentir lo expuesto y expresar su indigna...",www.facebook.com/182736288436188_1102881443088330,0,0,0
5 dias,"Revitalización de ciudades: Dinamización económica y social - Diario 5diasLos centros históricos de las ciudades son el espejo del país al que pertenecen. Es por ello que en las últimas décadas varios países latinoamericanos han iniciado procesos de revitalización de las ciudades emblemáticas; procesos que, si bien requieren de altas inversiones, con una planificación ade...",www.facebook.com/182736288436188_1102881079755033,2,1,0
5 dias,"Paraguay posee atractivos pero nadie los conoce - Diario 5dias CEO y socio fundador de la consultora, José Felix TorresTorres brindó una entre­vista al diario 5días donde resalta los puntos clave para fortalecer su imagen en el exterior y lograr esca­lar en el ránking.Ante los resultados obte­nidos por el Paraguay en el último informe realizado por la consultora Bloom, denominado “Digital Coun­try Index 16”, en donde el país ocupa la última colo­cación del ránking regional, el CEO y socio fundador de la consultora, José Felix Torres, arribó al país para dar a con...",www.facebook.com/182736288436188_1102880706421737,11,6,0
5 dias,"Peña aceptó el puesto de riesgo del Paraguay - Diario 5dias Ránking posiciona al país en sexto puestoEl ministro de Hacienda, Santiago Peña, se refirió al informe de riesgo país, aceptó la posición que tie­ne Paraguay en compara­ción con los demás países de América Latina.",www.facebook.com/182736288436188_1102879046421903,6,6,1
5 dias,"Se disparan los precios para ver la final de la Champions League - Diario 5diasLa final de la Champions League es uno de los eventos más importantes para los fanáticos del fútbol de todo el mundo. Es por eso que las entradas para asistir al partido a disputarse en Milán el día 28 de mayo entre el Real Madrid y el Atlético de Madrid, se encuentran a precios elevadísimos.",www.facebook.com/182736288436188_1102875293088945,1,0,0
5 dias,"Cocineros ponen el ingrediente que faltaba a la televisión paraguaya - Diario 5diasLos programas matutinos de la televisión paraguaya, en su gran mayoría apuestan a un segmento exclusivo de cocina. En el mismo, los cocineros se vuelven protagonistas.",www.facebook.com/182736288436188_1102875239755617,1,2,0
5 dias,El departamento más próspero es Presidente Hayes - Diario 5dias El departamento más próspero es Presidente Hayes http://www.5dias.com.py/46394-el-departamento-mas-prospero-es-presidente-hayesAl medir la tasa de pros­peridad se toman en con­sideración los departa­mentos con menor nivel de pobreza y con un mayor impacto a la eliminación de esta problemática so­cial.,www.facebook.com/182736288436188_1102873773089097,6,7,0
5 dias,"Paraguayos gastaron 17% más en compras con tarjeta en el extranjero - Diario 5dias Paraguayos gastaron 17% más en compras con tarjeta en el extranjero http://www.5dias.com.py/46397-paraguayos-gastaron-17-mas-en-compras-con-tarjeta-en-el-extranjeroSegún datos proporcio­nados por Bancard, en el primer cuatrimestre del 2016 se registraron tran­sacciones con tarjeta de crédito en 133 países del mundo por un total de G. 250 mil millones (US$ 45 millones), esto implica un crecimiento del 17% en relación al primer cuatri­mestre del año pasado.",www.facebook.com/182736288436188_1102872723089202,3,5,0
5 dias,"Fuerte caída de las exportaciones e importaciones - Diario 5dias Fuerte caída de las exportaciones e importaciones http://www.5dias.com.py/46384-fuerte-caida-de-las-exportaciones-e-importacionesEl año ha tenido un lento comienzo en cuanto a lo económico y esto tuvo su repercusión en el nivel de las exportaciones e importaciones del país, donde se registraron contracciones en relación al primer cuatrimestre del 2015, según los indican las cifras del comercio exterior presentadas ayer por el...",www.facebook.com/182736288436188_1102871469755994,0,0,0
5 dias,"Banca española toma el control de la constructora del súperviaducto. - Diario 5diasMientras la empresa multinacional abocada principalmente al rubro de la construcción, Isolux Corsán, está siendo rees­tructurada por deuda fi­nanciera existente -que a la fecha suman unos US$ 850 millones-, el control de la compañía fue tomado por la banca.",www.facebook.com/182736288436188_1102864856423322,4,4,0
5 dias,"Conozca las consecuencias del mal uso de las tarjetas de crédito - Diario 5diasUna de las cosas que hay que aprender a diferen­ciar como reflejo de una buena salud financiera y, por supuesto, para evitar caer en problemas finan­cieros graves son: las tar­jetas de débito y crédito.",www.facebook.com/182736288436188_1102853376424470,22,29,2
5 dias,Timeline Photos Así abre @5diaspy Miercoles 11 de Mayo #Paraguay #MejorParaTodos,www.facebook.com/182736288436188_1102653643111110,32,14,0
5 dias,Las vaquillas paraguayas volaron rumbo a Ecuador,www.facebook.com/182736288436188_1102546046455203,0,0,0
5 dias,Ránking riesgo país América Latina,www.facebook.com/182736288436188_1102544353122039,1,2,0
5 dias,Casas de bolsa con mayor volumen negociado en el año,www.facebook.com/182736288436188_1102456439797497,2,2,0
