source,created_time,text,url,likes,shares,comments
Cronica,2016-05-28T19:01:00+0000,"Travestis... ¿pelaron a dos arrieros? | Crónica Un travesti fue detenido por agentes de la Comisaría 1.ª Central de la Ciudad Universitaria, tras ser sindicado como autor del robo a un camionero y a un joven de 24 años entre las calles Cerro Corá y General Genes del barrio San Pedro de San Lorenzo. En poder del detenido no se encontraron las pertenencias de las víctimas, quienes reconocieron plenamente a “Celeste” como el autor.",www.facebook.com/221252151293397_1041243219294282,239,4,33
Cronica,2016-05-28T18:58:00+0000,Nuevos docentes estafados | Crónica El Sindicato Nacional de Directores informó ayer que se registraron nuevos casos de estafas a docentes. Se trata de 5 nuevas firmas que les jodieron la vida jeyma a unos cuantos docentes y otros funcionarios públicos.,www.facebook.com/221252151293397_1041242152627722,108,7,10
Cronica,2016-05-28T18:46:04+0000,"Muere niño venezolano que rogó al mundo por medicinas | Crónica “Quiero curarme. Paz, salud”, era el pedido del niño de ocho años que padecía cáncer y participó en manifestaciones por la crisis sanitaria, solicitando medicinas para realizar el tratamiento de quimioterapia.",www.facebook.com/221252151293397_1041241619294442,2332,185,50
Cronica,2016-05-28T18:20:01+0000,"Capacitarán a 120 ingenieros en Brasil | Crónica El Ministerio de Obras Públicas y Comunicaciones (MOPC) firmará este lunes un acuerdo con la Universidad de San Pablo (USP) para capacitar 120 ingenieros durante dos años, teniendo en cuenta que en nuestro país se da un marcado déficit de profesionales, para acompañar el desarrollo de las obras.",www.facebook.com/221252151293397_1041208115964459,98,1,2
Cronica,2016-05-28T18:10:00+0000,"“Morterito” ya vuela “bajo” con su motito | Crónica El petiso más querido de la televisión paraguaya, Julio Amarilla, conocido por la perrada como “Mortero Bala”, se convirtió en el primer minimotoqueiro del país, ya que el día de ayer recibió de regalo una moto ninja voi, de las que vuelan bajo.",www.facebook.com/221252151293397_1041207272631210,8543,363,127
Cronica,2016-05-28T17:53:00+0000,Ya es moda: otra modelo anda armada | Crónica Marly Figueredo se suma al lote de modelos que andan armadas. La inseguridad hace que todos estén en cháke y dice que ese fue uno de los motivos que llevó a la modelo a tomar clases de tiros.,www.facebook.com/221252151293397_1041205822631355,825,6,42
Cronica,2016-05-28T17:22:00+0000,"Moliniers estará en la apertura de ShowMatch | Crónica Tras conocerse la noticia de su embarazo, la bailarina argentina Lourdes Sánchez afirmó que aún estando en la “dulce espera” quería ser parte del “Bailando” 2016. Incluso, reveló el nombre de quien sería su compañero de baile: “Me gustaría ir con Jorgito Moliniers. Fue idea de la producción porque Jorgito es una persona superdulce, muy buen partenaire y me llevo superbién con él” dijo kuri Lourdes.",www.facebook.com/221252151293397_1041185485966722,1007,6,39
Cronica,2016-05-28T17:00:00+0000,"Réferes sabrán al instante si es gol | Crónica La Copa América Centenario será, sin dudas, un torneo excluyente por varios aspectos. Por la cantidad de equipos participantes (16 en total), porque se jugará por única vez y también porque inaugurará la puesta en vigencia de la tecnología en el fútbol.",www.facebook.com/221252151293397_1041172775967993,384,3,2
Cronica,2016-05-28T16:53:38+0000,"Hermanos de famosas, con líos judiciales | Crónica La Policía Nacional detuvo a Osvaldo Portillo, hermano de la conocida cantante, Nadia Portillo, el jueves. El hermano de la cumbiera está acusado supuestamente de ser motochorro y lideraba una banda de asaltantes que operaban en el departamento Central. Con la detención de Osvaldo Portillo se suman los casos de hermanos de famosos que tienen problemas con la Justicia.",www.facebook.com/221252151293397_1041177912634146,902,19,59
Cronica,2016-05-28T16:37:53+0000,"Cáceres regresa a Barrio Obrero | Crónica El defensor cuyo último club fue Newell’s de Rosario, firmará un contrato por tres años.",www.facebook.com/221252151293397_1041171585968112,680,5,11
Cronica,2016-05-28T16:23:22+0000,"Se respira buena onda | Crónica La delegación albirroja ya está instalada en Atlanta, donde jugará esta tarde un amistoso preparatorio contra México. Además, Ramón habló en conferencia de prensa.",www.facebook.com/221252151293397_1041166189301985,269,0,7
Cronica,2016-05-28T16:10:00+0000,"Intermedia: El líder va a “Fernando” | Crónica El juego estrella lo protagonizarán Fernando de la Mora y Caaguazú en el estadio “Emiliano Ghezzi”, a las 15:00.",www.facebook.com/221252151293397_1041156359302968,206,3,6
Cronica,2016-05-28T16:00:00+0000,"Llegó la esperada final: Real Madrid vs. Atlético de Madrid | Crónica Real Madrid y Atlético de Madrid, dos clubes vecinos y que mantienen una tradicional rivalidad, se disputan el título de la Liga de Campeones, este sábado en Milán, en una reedición de la final ganada hace dos años por los “merengues” en Lisboa.",www.facebook.com/221252151293397_1041136812638256,776,18,15
Cronica,2016-05-28T15:51:44+0000,"DT rapai llamó a Kaká | Crónica La lesión de Douglas Costa le abrió las puertas de la selección brasileña una vez más a Kaká, quien milita actualmente en el Orlando City.",www.facebook.com/221252151293397_1041151772636760,497,2,9
