source,created_time,text,url,likes,shares,comments
5 dias,2016-05-13T12:34:01+0000,"Perspectivas turbias para el empleo - Diario 5dias Perspectivas turbias para el empleo http://www.5dias.com.py/46455-perspectivas-turbias-para-el-empleoSegún el informe, Para­guay ha subido la tasa de ocupación en 1,5% entre el 2005 y el 2014 para el área urbana, por otro lado cayó en 2,8 puntos porcentuales esta mis­ma tasa pero en el área rural.",www.facebook.com/182736288436188_1103993326310475,1,4,0
5 dias,2016-05-13T12:32:49+0000,"Odebrecht levanta carpas desilusionada con la APP - Diario 5dias Odebrecht levanta carpas desilusionada con la APP http://www.5dias.com.py/46444-odebrecht-levanta-carpas-desilusionada-con-la-appLa constructora involucrada en el vaciamiento de Petrobras había sido una de las primeras en prometer inversiones al Gobierno de Horacio Cartes. El motivo principal de su ida radica en el nulo avance en cuanto a proyectos en Alianza Público- Privada, señalaron fuentes ligadas a la firma.",www.facebook.com/182736288436188_1103992946310513,3,3,5
5 dias,2016-05-13T12:23:31+0000,"Duro revés del Mercosur por oferta europea que excluye carne del TLC - Diario 5dias""Esperar más de diez años por un TLC con Europa y que en la propuesta presentada no esté incluida la carne parece bastante difícil de asimilar’’.",www.facebook.com/182736288436188_1103989959644145,0,0,0
5 dias,2016-05-13T12:22:44+0000,"Parálisis de la economía ya se refleja en los salarios - Diario 5diasLos salarios del sector de la construcción, financieros y el de servicios fueron los que mayormente se han incrementado en el último año, en donde la comunicación es el que se encuentra más rezagado.",www.facebook.com/182736288436188_1103989569644184,23,22,2
5 dias,2016-05-13T12:22:41+0000,"Conozca las marcas mejor valuadas en el mundo - Diario 5dias Con un valor de US$ 154.100 millones, Apple se consolida como una firma clase A.Apple se vuelve a posicionar como la marca más valiosa del mundo por sexto año consecutivo, según el último informe presentado por Forbes.",www.facebook.com/182736288436188_1103989532977521,384,142,7
5 dias,2016-05-13T11:49:27+0000,"Odebrecht levanta carpas desilusionada con la APP - Diario 5dias http://www.5dias.com.py/46444-odebrecht-levanta-carpas-desilusionada-con-la-appLa constructora involucrada en el vaciamiento de Petrobras había sido una de las primeras en prometer inversiones al Gobierno de Horacio Cartes. El motivo principal de su ida radica en el nulo avance en cuanto a proyectos en Alianza Público- Privada, señalaron fuentes ligadas a la firma.",www.facebook.com/182736288436188_1103975199645621,5,7,1
5 dias,2016-05-13T11:47:01+0000,"Nueva subasta de Bonos de Hacienda - Diario 5diasUna nueva subasta de Bonos del Tesoro por 20.000 millones de gua­raníes realizará el Mi­nisterio de Hacienda el próximo martes 17 de mayo del corriente año, a través de la Bolsa de Valo­res y Productos de Asun­ción SA (Bvpasa).",www.facebook.com/182736288436188_1103974509645690,2,7,1
5 dias,2016-05-13T11:44:05+0000,"Embajada alemana se alista para mudarse a las torres de La Galería - Diario 5diasLuego de estar instala­dos durante 20 años en el mismo sitio, la Embajada de la República Federal de Alemania en el Para­guay, firmó un conve­nio con la empresa Blue Tower Paraguay y estará trasladando todas sus instalaciones a los pisos 20 y 21 de la torre uno del edificio corporativo del Paseo La…",www.facebook.com/182736288436188_1103973692979105,16,4,0
5 dias,2016-05-13T11:39:44+0000,"Paraguay tiene un volumen de oportunidades sin techo - Diario 5diasLa Embajada del Uruguay en el país impulsa con el apoyo del Club de Ejecutivos del Paraguay, alianzas comerciales entre empresas paraguayas y uruguayas.",www.facebook.com/182736288436188_1103971649645976,2,7,0
5 dias,2016-05-13T02:06:46+0000,Timeline Photos Así abre @5diaspy Viernes 13 de Mayo #Paraguay #MejorParaTodos,www.facebook.com/182736288436188_1103768662999608,10,8,2
5 dias,2016-05-12T21:48:05+0000,Ley de tarjetas esperan dictamen de diputados,www.facebook.com/182736288436188_1103658669677274,2,2,0
5 dias,2016-05-12T21:27:25+0000,Primera feria de empleo para trabajadores informales,www.facebook.com/182736288436188_1103656853010789,4,1,0
5 dias,2016-05-12T19:40:23+0000,Precio de soja tocó nivel más alto en año y medio,www.facebook.com/182736288436188_1103605999682541,1,0,0
5 dias,2016-05-12T17:22:36+0000,"""Trabajo planificado, ordenado, responsable y transparente"" - Diario 5diasSin distinción de rubro, dentro del organigrama de toda empresa, el gerente o director Comercial es siempre el máximo responsable del departamento Comercial. Obviamente, este depende directamente del director General de la compañía; pero, es quien se encarga de hacer cumplir las proyecciones y metas...",www.facebook.com/182736288436188_1103549733021501,11,5,1
5 dias,2016-05-12T13:31:38+0000,"Zara y Santander, entre las 100 marcas más valiosas del mundo http://www.expansion.com/empresas/2016/05/12/573447e0468aeb0e0a8b464b.htmlAmancio Ortega, el fundador de Inditex, no sólo puede presumir de figurar en el podio de los hombres más ricos del mundo, en el que se codea con...",www.facebook.com/182736288436188_1103450846364723,13,3,0
5 dias,2016-05-12T13:12:31+0000,"Precio de soja tocó nivel más alto en año y medio - Diario 5dias Se ajustó precio por toma de ganancias.La oleaginosa ajustó su precio por una toma de ganancias. Por su parte, los futuros del trigo tocaron su nivel más bajo en una década.",www.facebook.com/182736288436188_1103442566365551,12,9,0
5 dias,2016-05-12T13:12:17+0000,"Abril registró superávit de US$ 18 millones - Diario 5diasEn abril pasado, la Admi­nistración Central regis­tró un superávit mensual de 99,4 mil millones de guaraníes (alrededor de US$ 18 millones), superior en G. 71 mil millones a lo observado en el mismo mes del 2015, mientras que en el acumulado del año se observa un déficit de G. 349 mil millones, 18%…",www.facebook.com/182736288436188_1103442489698892,4,2,0
5 dias,2016-05-12T13:11:06+0000,"Quiniela arrasa en tributo para juegos de azar - Diario 5diasEntre todos los juegos de azar, la quiniela es la que arrasa en cuanto a tribu­to de acuerdo al informe emitido por la Comisión Nacional de Juegos de Azar (Conajzar).",www.facebook.com/182736288436188_1103442079698933,1,0,0
5 dias,2016-05-12T13:05:28+0000,Presentación oficial de la Expo 2016 y de la Rueda de Negocios - Diario 5dias Trigésima quinta edición de la tradicional fiesta del trabajo se presento ayer.La trigésimo quinta edición de la tradicional Expo fue presentada el día de ayer.,www.facebook.com/182736288436188_1103439186365889,2,1,0
